[2017-10-13 16:11:15,579][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列HandlerQuene完成
[2017-10-13 16:11:15,580][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列UnpackQueue完成
[2017-10-13 16:11:15,581][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列PackQueue完成
[2017-10-13 16:11:15,596][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列TxnQueue完成
[2017-10-13 16:11:15,596][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列ManagerQuene完成
[2017-10-13 16:11:15,598][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列FailQueue完成
[2017-10-13 16:11:15,599][main]com.ods.manager.QueueManager[73][INFO ]: 初始化队列SuccessQueue完成
[2017-10-13 16:46:27,279][pool-1-thread-1]com.ods.manager.QueueManager[91][INFO ]: 201710131646270000000001加入到队列UnpackQueue完成,操作结果:true
[2017-10-13 16:46:27,324][UnPackService-2]com.ods.manager.QueueManager[107][INFO ]: 获取 UnpackQueue队列元素完成,获取元素的系统流水号:201710131646270000000001
[2017-10-13 16:46:27,701][UnPackService-2]com.ods.manager.QueueManager[91][INFO ]: 201710131646270000000001加入到队列TxnQueue完成,操作结果:true
[2017-10-13 16:46:27,726][TxnService-3]com.ods.manager.QueueManager[107][INFO ]: 获取 TxnQueue队列元素完成,获取元素的系统流水号:201710131646270000000001
[2017-10-13 16:46:31,973][TxnService-3]com.ods.manager.QueueManager[91][INFO ]: 201710131646270000000001加入到队列PackQueue完成,操作结果:true
[2017-10-13 16:46:32,004][EsbPackService-3]com.ods.manager.QueueManager[107][INFO ]: 获取 PackQueue队列元素完成,获取元素的系统流水号:201710131646270000000001
[2017-10-13 16:47:28,490][EsbPackService-3]com.ods.manager.QueueManager[91][INFO ]: 201710131646270000000001加入到队列FailQueue完成,操作结果:true
[2017-10-13 16:47:28,492][SendFailMsgService-2]com.ods.manager.QueueManager[107][INFO ]: 获取 FailQueue队列元素完成,获取元素的系统流水号:201710131646270000000001
[2017-10-13 16:47:34,395][pool-1-thread-1]com.ods.manager.QueueManager[91][INFO ]: 201710131647340000000002加入到队列UnpackQueue完成,操作结果:true
[2017-10-13 16:47:34,440][UnPackService-1]com.ods.manager.QueueManager[107][INFO ]: 获取 UnpackQueue队列元素完成,获取元素的系统流水号:201710131647340000000002
[2017-10-13 16:47:34,496][UnPackService-1]com.ods.manager.QueueManager[91][INFO ]: 201710131647340000000002加入到队列TxnQueue完成,操作结果:true
[2017-10-13 16:47:34,504][TxnService-0]com.ods.manager.QueueManager[107][INFO ]: 获取 TxnQueue队列元素完成,获取元素的系统流水号:201710131647340000000002
[2017-10-13 16:47:34,662][TxnService-0]com.ods.manager.QueueManager[91][INFO ]: 201710131647340000000002加入到队列PackQueue完成,操作结果:true
[2017-10-13 16:47:34,691][EsbPackService-1]com.ods.manager.QueueManager[107][INFO ]: 获取 PackQueue队列元素完成,获取元素的系统流水号:201710131647340000000002
[2017-10-13 16:54:02,170][EsbPackService-1]com.ods.manager.QueueManager[91][INFO ]: 201710131647340000000002加入到队列FailQueue完成,操作结果:true
[2017-10-13 16:54:02,177][SendFailMsgService-0]com.ods.manager.QueueManager[107][INFO ]: 获取 FailQueue队列元素完成,获取元素的系统流水号:201710131647340000000002
